Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Shake Milton (26681374),Shake Milton,26681374,PG/SG/G/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,PHI,18.28
SF,Danuel House Jr. (26681378),Danuel House Jr.,26681378,SF/F/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,PHI,8.71
SG,Furkan Korkmaz (26681381),Furkan Korkmaz,26681381,SG/G/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,PHI,6.99
PF,Louis King (26681384),Louis King,26681384,PF/F/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,PHI,0
SF,Julian Champagnie (26681387),Julian Champagnie,26681387,SF/F/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,PHI,1
C,Paul Reed (26681390),Paul Reed,26681390,C/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,PHI,9.68
SG,Jaden Springer (26681392),Jaden Springer,26681392,SG/G/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,PHI,4.96
PF/C,Frank Kaminsky (26681596),Frank Kaminsky,26681596,PF/C/F/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,HOU,6.17
SF/PF,Justin Holiday (26681600),Justin Holiday,26681600,SF/PF/F/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,HOU,8.26
C,Darius Days (26681604),Darius Days,26681604,C/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,HOU,6
PG,Trevor Hudgins (26681606),Trevor Hudgins,26681606,PG/G/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,HOU,5.5
C,Usman Garuba (26681609),Usman Garuba,26681609,C/UTIL,3000,HOU@PHI 02/13/2023 07:00PM ET,HOU,12.45
PF/C,Jabari Walker (26681350),Jabari Walker,26681350,PF/C/F/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,POR,6.30
C,John Butler (26681354),John Butler,26681354,C/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,POR,1.14
PG,Ryan Arcidiacono (26681356),Ryan Arcidiacono,26681356,PG/G/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,POR,1.36
SG/SF,Cam Reddish (26681359),Cam Reddish,26681359,SG/SF/F/G/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,POR,14.34
SG/SF,Keon Johnson (26681364),Keon Johnson,26681364,SG/SF/F/G/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,POR,8.40
C,Ibou Badji (26681369),Ibou Badji,26681369,C/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,POR,0
SF,Justise Winslow (26681371),Justise Winslow,26681371,SF/F/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,POR,20.46
SG,Max Christie (26681584),Max Christie,26681584,SG/G/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,LAL,8.07
SF,Cole Swider (26681587),Cole Swider,26681587,SF/F/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,LAL,4.21
SF,Davon Reed (26681590),Davon Reed,26681590,SF/F/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,LAL,6.01
PG,Scotty Pippen Jr. (26681593),Scotty Pippen Jr.,26681593,PG/G/UTIL,3000,LAL@POR 02/13/2023 10:00PM ET,LAL,4.58
