Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
C,Jonas Valanciunas (26785369),Jonas Valanciunas,26785369,C/UTIL,6100,NOP@NYK 02/25/2023 07:30PM ET,NOP,30.67,L
PG,Malcolm Brogdon (26785374),Malcolm Brogdon,26785374,PG/G/UTIL,6000,BOS@PHI 02/25/2023 08:30PM ET,BOS,27.81,P
SF,Michael Porter Jr. (26785371),Michael Porter Jr.,26785371,SF/F/UTIL,6000,DEN@MEM 02/25/2023 08:00PM ET,DEN,28.59,L
PG/SG,Derrick White (26785381),Derrick White,26785381,PG/SG/G/UTIL,5900,BOS@PHI 02/25/2023 08:30PM ET,BOS,25.53,P
SF/PF,Gordon Hayward (26785377),Gordon Hayward,26785377,SF/PF/F/UTIL,5900,MIA@CHA 02/25/2023 07:00PM ET,CHA,27.31,L
SG/SF,Franz Wagner (26785385),Franz Wagner,26785385,SG/SF/F/G/UTIL,5800,IND@ORL 02/25/2023 07:00PM ET,ORL,31.08,L
SF,RJ Barrett (26785394),RJ Barrett,26785394,SF/F/UTIL,5700,NOP@NYK 02/25/2023 07:30PM ET,NYK,31.32,L
PF/C,Kelly Olynyk (26785390),Kelly Olynyk,26785390,PF/C/F/UTIL,5700,SAS@UTA 02/25/2023 09:00PM ET,UTA,26.55,M
C,Mark Williams (26785397),Mark Williams,26785397,C/UTIL,5600,MIA@CHA 02/25/2023 07:00PM ET,CHA,18.57,L
SG/SF,Josh Hart (26785399),Josh Hart,26785399,SG/SF/F/G/UTIL,5600,NOP@NYK 02/25/2023 07:30PM ET,NYK,28.02,P
C,Robert Williams (26785404),Robert Williams,26785404,C/UTIL,5500,BOS@PHI 02/25/2023 08:30PM ET,BOS,24.72,L
SG/SF,Talen Horton-Tucker (26785406),Talen Horton-Tucker,26785406,SG/SF/F/G/UTIL,5500,SAS@UTA 02/25/2023 09:00PM ET,UTA,17.16,L
SG,Devin Vassell (26785411),Devin Vassell,26785411,SG/G/UTIL,5400,SAS@UTA 02/25/2023 09:00PM ET,SAS,33.63,O
PG/SG,Tyrese Maxey (26785418),Tyrese Maxey,26785418,PG/SG/G/UTIL,5300,BOS@PHI 02/25/2023 08:30PM ET,PHI,30.94,P
SF/PF,Tobias Harris (26785422),Tobias Harris,26785422,SF/PF/F/UTIL,5300,BOS@PHI 02/25/2023 08:30PM ET,PHI,30.26,L
PG/SG,Collin Sexton (26785414),Collin Sexton,26785414,PG/SG/G/UTIL,5300,SAS@UTA 02/25/2023 09:00PM ET,UTA,22.38,P
SG/SF,Bennedict Mathurin (26785430),Bennedict Mathurin,26785430,SG/SF/F/G/UTIL,5200,IND@ORL 02/25/2023 07:00PM ET,IND,25.85,P
C,Mitchell Robinson (26785438),Mitchell Robinson,26785438,C/UTIL,5200,NOP@NYK 02/25/2023 07:30PM ET,NYK,25.32,L
PG/SG,Malaki Branham (26785426),Malaki Branham,26785426,PG/SG/G/UTIL,5200,SAS@UTA 02/25/2023 09:00PM ET,SAS,16.39,L
PG,Tre Jones (26785435),Tre Jones,26785435,PG/G/UTIL,5200,SAS@UTA 02/25/2023 09:00PM ET,SAS,29.1,Q
SG/SF,Max Strus (26785440),Max Strus,26785440,SG/SF/F/G/UTIL,5100,MIA@CHA 02/25/2023 07:00PM ET,MIA,22.77,P
PG/SG,Gabe Vincent (26785445),Gabe Vincent,26785445,PG/SG/G/UTIL,5100,MIA@CHA 02/25/2023 07:00PM ET,MIA,18.62,L
